Disease_name,Gene_name,Gene_ID,Tissue
Spinocerebellar ataxia 12,PPP2R2B,ENSG00000156475,Spinal cord
Amyotrophic lateral sclerosis 9,ANG,ENSG00000214274,Spinal cord
Spinocerebellar ataxia 15,ITPR1,ENSG00000150995,Spinal cord
Brown-Vialetto-Van Laere syndrome 1,SLC52A3,ENSG00000101276,Spinal cord
Spinocerebellar ataxia 14,PRKCG,ENSG00000126583,Spinal cord
Spinocerebellar ataxia 5,SPTBN2,ENSG00000173898,Spinal cord
"{Amyotrophic lateral sclerosis, susceptibility to}",DCTN1,ENSG00000204843,Spinal cord
"{Amyotrophic lateral sclerosis, susceptibility to}",PRPH,ENSG00000135406,Spinal cord
Amyotrophic lateral sclerosis 1,SOD1,ENSG00000142168,Spinal cord
"?{Amyotrophic lateral sclerosis, susceptibility to}",NEFH,ENSG00000100285,Spinal cord
"Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant",BICD2,ENSG00000185963,Spinal cord
Spinocerebellar ataxia 27,FGF14,ENSG00000102466,Spinal cord
Amyotrophic lateral sclerosis 11,FIG4,ENSG00000112367,Spinal cord
Amyotrophic lateral sclerosis 12 with or without frontotemporal dementia,OPTN,ENSG00000123240,Spinal cord
Spinocerebellar ataxia 34,ELOVL4,ENSG00000118402,Spinal cord
Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia,TUBA4A,ENSG00000127824,Spinal cord
"{Amyotrophic lateral sclerosis, susceptibility to, 13}",ATXN2,ENSG00000204842,Spinal cord
"{Amyotrophic lateral sclerosis, susceptibility to, 13}",ATXN2,ENSG00000204842,Spinal cord
Spinocerebellar ataxia 2,ATXN2,ENSG00000204842,Spinal cord
Spinocerebellar ataxia 2,ATXN2,ENSG00000204842,Spinal cord
Spinocerebellar ataxia 37,DAB1,ENSG00000173406,Spinal cord
Spinocerebellar ataxia 28,AFG3L2,ENSG00000141385,Spinal cord
Spinocerebellar ataxia 23,PDYN,ENSG00000101327,Spinal cord
Spinocerebellar ataxia 17,TBP,ENSG00000112592,Spinal cord
Spinocerebellar ataxia 7,ATXN7,ENSG00000163635,Spinal cord
Spinocerebellar ataxia 1,ATXN1,ENSG00000124788,Spinal cord
Spinocerebellar ataxia 10,ATXN10,ENSG00000130638,Spinal cord
Frontotemporal dementia and/or amytrophic lateral sclerosis 7,CHMP2B,ENSG00000083937,Spinal cord
Frontotemporal dementia and/or amytrophic lateral sclerosis 7,CHMP2B,ENSG00000083937,Spinal cord
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,VCP,ENSG00000165280,Spinal cord
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,VCP,ENSG00000165280,Spinal cord
Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,C9orf72,ENSG00000147894,Spinal cord
Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,C9orf72,ENSG00000147894,Spinal cord
Amyotrophic lateral sclerosis 20,HNRNPA1,ENSG00000135486,Spinal cord
Giant axonal neuropathy-1,GAN,ENSG00000261609,Spinal cord
Amyotrophic lateral sclerosis 18,PFN1,ENSG00000108518,Spinal cord
Hermansky-Pudlak syndrome 2,AP3B1,ENSG00000132842,Skin
Lymphangioleiomyomatosis,TSC1,ENSG00000165699,Skin
"Lymphangioleiomyomatosis, somatic",TSC2,ENSG00000103197,Skin
"Acne inversa, familial, 1",NCSTN,ENSG00000162736,Skin
"Albinism, oculocutaneous, type IV",SLC45A2,ENSG00000164175,Skin
?Cranioectodermal dysplasia 3,IFT43,ENSG00000119650,Skin
"Dyskeratosis congenita, X-linked",DKC1,ENSG00000130826,Skin
"Hemochromatosis, type 3",TFR2,ENSG00000106327,Skin
Epidermolysis bullosa simplex-MP,KRT5,ENSG00000186081,Skin
LEOPARD syndrome 3,BRAF,ENSG00000157764,Skin
"Palmoplantar keratoderma, nonepidermolytic",KRT1,ENSG00000167768,Skin
"Hemochromatosis, type 4",SLC40A1,ENSG00000138449,Skin
Peeling skin syndrome 5,SERPINB8,ENSG00000166401,Skin
"Porokeratosis 8, disseminated superficial actinic type",SLC17A9,ENSG00000101194,Skin
Cranioectodermal dysplasia 1,IFT122,ENSG00000163913,Skin
"Cortical dysplasia, complex, with other brain malformations 6",TUBB,ENSG00000196230,Skin
"Psoriasis 14, pustular",IL36RN,ENSG00000136695,Skin
"Ichthyosis, congenital, autosomal recessive 1",TGM1,ENSG00000092295,Skin
"Waardenburg syndrome, type 2A",MITF,ENSG00000187098,Skin
"Albinism, oculocutaneous, type VII",LRMDA,ENSG00000148655,Skin
"Trichothiodystrophy 6, nonphotosensitive",GTF2E2,ENSG00000197265,Skin
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 4",PARN,ENSG00000140694,Skin
Cardiofaciocutaneous syndrome,BRAF,ENSG00000157764,Skin
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3",RTEL1,ENSG00000258366,Skin
Adams-Oliver syndrome 3,RBPJ,ENSG00000168214,Skin
Pachyonychia congenita 4,KRT6B,ENSG00000185479,Skin
Psoriasis 2,CARD14,ENSG00000141527,Skin
Cardiofaciocutaneous syndrome 3,MAP2K1,ENSG00000169032,Skin
"Albinism, oculocutaneous, type IA",TYR,ENSG00000077498,Skin
Aicardi-Goutieres syndrome 7,IFIH1,ENSG00000115267,Skin
Singleton-Merten syndrome 2,DDX58,ENSG00000107201,Skin
Dyschromatosis symmetrica hereditaria,ADAR,ENSG00000160710,Skin
"Epidermolysis bullosa simplex, Dowling-Meara type",KRT5,ENSG00000186081,Skin
"Epidermolysis bullosa simplex, Dowling-Meara type",KRT14,ENSG00000186847,Skin
Tuberous sclerosis-1,TSC1,ENSG00000165699,Skin
"Waardenburg syndrome, type 4A",EDNRB,ENSG00000136160,Skin
Noonan syndrome 7,BRAF,ENSG00000157764,Skin
Neu-Laxova syndrome 1,PHGDH,ENSG00000092621,Skin
"Griscelli syndrome, type 3",MLPH,ENSG00000115648,Skin
Peeling skin syndrome 4,CSTA,ENSG00000121552,Skin
Adams-Oliver syndrome 6,DLL4,ENSG00000128917,Skin
Dyschromatosis universalis hereditaria 3,ABCB6,ENSG00000115657,Skin
Cowden syndrome 1,PTEN,ENSG00000171862,Skin
Lhermitte-Duclos syndrome,PTEN,ENSG00000171862,Skin
"?Acne inversa, familial, 3",PSEN1,ENSG00000080815,Skin
"Ichthyosis, cyclic, with epidermolytic hyperkeratosis",KRT1,ENSG00000167768,Skin
"Ichthyosis, cyclic, with epidermolytic hyperkeratosis",KRT10,ENSG00000186395,Skin
"Waardenburg syndrome, type 2D",SNAI2,ENSG00000019549,Skin
"Mitochondrial complex III deficiency, nuclear type 1",BCS1L,ENSG00000074582,Skin
"Cardiomyopathy, dilated, 1NN",RAF1,ENSG00000132155,Skin
Aicardi-Goutieres syndrome 5,SAMHD1,ENSG00000101347,Skin
"Albinism, oculocutaneous, type III",TYRP1,ENSG00000107165,Skin
Even-plus syndrome,HSPA9,ENSG00000113013,Skin
Bjornstad syndrome,BCS1L,ENSG00000074582,Skin
Aicardi-Goutieres syndrome 6,ADAR,ENSG00000160710,Skin
Mandibuloacral dysplasia,LMNA,ENSG00000160789,Skin
Dowling-Degos disease 2,POFUT1,ENSG00000101346,Skin
Cardiofaciocutaneous syndrome 4,MAP2K2,ENSG00000126934,Skin
"Emery-Dreifuss muscular dystrophy 3, autosomal recessive",LMNA,ENSG00000160789,Skin
Steatocystoma multiplex,KRT17,ENSG00000128422,Skin
"Ichthyosis, congenital, autosomal recessive 5",CYP4F22,ENSG00000171954,Skin
"Epidermolysis bullosa simplex, Weber-Cockayne type",KRT5,ENSG00000186081,Skin
"Epidermolysis bullosa simplex, Weber-Cockayne type",KRT14,ENSG00000186847,Skin
Epidermolysis bullosa of hands and feet,ITGB4,ENSG00000132470,Skin
"Dyskeratosis congenita, autosomal recessive 1",NOP10,ENSG00000182117,Skin
"Amyloidosis, primary localized cutaneous, 1",OSMR,ENSG00000145623,Skin
"Ehlers-Danlos syndrome, classic type, 1",COL5A1,ENSG00000130635,Skin
"Symmetric circumferential skin creases, congenital, 1",TUBB,ENSG00000196230,Skin
"Albinism, oculocutaneous, type IB",TYR,ENSG00000077498,Skin
"[Skin/hair/eye pigmentation 4, fair/dark skin]",SLC24A5,ENSG00000188467,Skin
"[Skin/hair/eye pigmentation 4, fair/dark skin]",SLC24A5,ENSG00000188467,Skin
"Albinism, oculocutaneous, type VI",SLC24A5,ENSG00000188467,Skin
"Albinism, oculocutaneous, type VI",SLC24A5,ENSG00000188467,Skin
"Ichthyosis, congenital, autosomal recessive 6",NIPAL4,ENSG00000172548,Skin
"Dyskeratosis congenita, autosomal recessive 6",PARN,ENSG00000140694,Skin
"Dyskeratosis congenita, autosomal dominant 1",TERC,ENSG00000270141,Skin
"Waardenburg syndrome/ocular albinism, digenic",MITF,ENSG00000187098,Skin
"Waardenburg syndrome/albinism, digenic",TYR,ENSG00000077498,Skin
Adams-Oliver syndrome 1,ARHGAP31,ENSG00000031081,Skin
Adams-Oliver syndrome 4,EOGT,ENSG00000163378,Skin
Basal cell nevus syndrome,PTCH2,ENSG00000117425,Skin
Basal cell nevus syndrome,PTCH1,ENSG00000185920,Skin
Basal cell nevus syndrome,SUFU,ENSG00000107882,Skin
"?Myofibromatosis, infantile 2",NOTCH3,ENSG00000074181,Skin
"Cardiomyopathy, dilated, 1A",LMNA,ENSG00000160789,Skin
Darier disease,ATP2A2,ENSG00000174437,Skin
Keratosis palmoplantaris striata III,KRT1,ENSG00000167768,Skin
Kanzaki disease,NAGA,ENSG00000198951,Skin
"Porokeratosis 9, multiple types",FDPS,ENSG00000160752,Skin
Neu-Laxova syndrome 2,PSAT1,ENSG00000135069,Skin
Peeling skin syndrome 2,TGM5,ENSG00000104055,Skin
"Lipodystrophy, familial partial, type 2",LMNA,ENSG00000160789,Skin
"Ichthyosis, congenital, autosomal recessive 10",PNPLA1,ENSG00000180316,Skin
"Charcot-Marie-Tooth disease, type 2B1",LMNA,ENSG00000160789,Skin
"Anemia, sideroblastic, 4",HSPA9,ENSG00000113013,Skin
Geleophysic dysplasia 2,FBN1,ENSG00000166147,Skin
"Albinism, oculocutaneous, type II",OCA2,ENSG00000104044,Skin
"Albinism, brown oculocutaneous",OCA2,ENSG00000104044,Skin
"{Albinism, oculocutaneous, type II, modifier of}",MC1R,ENSG00000258839,Skin
Aicardi-Goutieres syndrome 3,RNASEH2C,ENSG00000172922,Skin
"Epidermolysis bullosa simplex, recessive 1",KRT5,ENSG00000186081,Skin
"Epidermolysis bullosa simplex, recessive 1",KRT14,ENSG00000186847,Skin
Pachyonychia congenita 1,KRT16,ENSG00000186832,Skin
Cranioectodermal dysplasia 2,WDR35,ENSG00000118965,Skin
"Cardiomyopathy, dilated, 1U",PSEN1,ENSG00000080815,Skin
Cowden syndrome 5,PIK3CA,ENSG00000121879,Skin
Piebaldism,KIT,ENSG00000157404,Skin
Piebaldism,SNAI2,ENSG00000019549,Skin
"Dyskeratosis congenita, autosomal dominant 3",TINF2,ENSG00000092330,Skin
"Ichthyosis, congenital, autosomal recessive 4A",ABCA12,ENSG00000144452,Skin
"Ehlers-Danlos syndrome, kyphoscoliotic type, 2",FKBP14,ENSG00000106080,Skin
Hemochromatosis,HFE,ENSG00000010704,Skin
"{HFE hemochromatosis, modifier of}",BMP2,ENSG00000125845,Skin
"Waardenburg syndrome, type 3",PAX3,ENSG00000135903,Skin
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",LMNA,ENSG00000160789,Skin
"Symmetric circumferential skin creases, congenital, 2",MAPRE2,ENSG00000166974,Skin
"Griscelli syndrome, type 1",MYO5A,ENSG00000197535,Skin
Adams-Oliver syndrome 5,NOTCH1,ENSG00000148400,Skin
Aicardi-Goutieres syndrome 4,RNASEH2A,ENSG00000104889,Skin
Chilblain lupus,TREX1,ENSG00000213689,Skin
"Dyskeratosis congenita, autosomal recessive 2",NHP2,ENSG00000145912,Skin
"Hemochromatosis, type 2B",HAMP,ENSG00000105697,Skin
"Dyskeratosis congenita, autosomal recessive 3",WRAP53,ENSG00000141499,Skin
"Ichthyosis, congenital, autosomal recessive 12",CASP14,ENSG00000105141,Skin
"{TSC2 angiomyolipomas, renal, modifier of}",IFNG,ENSG00000111537,Skin
Tuberous sclerosis-2,TSC2,ENSG00000103197,Skin
UV-sensitive syndrome 3,UVSSA,ENSG00000163945,Skin
Cerebrooculofacioskeletal syndrome 1,ERCC6,ENSG00000225830,Skin
"Trichothiodystrophy 1, photosensitive",ERCC2,ENSG00000104884,Skin
Pachyonychia congenita 2,KRT17,ENSG00000128422,Skin
Reticulate acropigmentation of Kitamura,ADAM10,ENSG00000137845,Skin
"Ichthyosis, congenital, autosomal recessive 3",ALOXE3,ENSG00000179148,Skin
"Ichthyosis, congenital, autosomal recessive 2",ALOX12B,ENSG00000179477,Skin
"Aicardi-Goutieres syndrome 1, dominant and recessive",TREX1,ENSG00000213689,Skin
"Palmoplantar keratoderma, epidermolytic",KRT1,ENSG00000167768,Skin
"Palmoplantar keratoderma, epidermolytic",KRT9,ENSG00000171403,Skin
LEOPARD syndrome 1,PTPN11,ENSG00000179295,Skin
Aortic valve disease 1,NOTCH1,ENSG00000148400,Skin
"Ichthyosis, congenital, autosomal recessive 8",LIPN,ENSG00000204020,Skin
"Waardenburg syndrome, type 2E, with or without neurologic involvement",SOX10,ENSG00000100146,Skin
Pachyonychia congenita 3,KRT6A,ENSG00000205420,Skin
Hermansky-Pudlak syndrome 1,HPS1,ENSG00000107521,Skin
Geleophysic dysplasia 1,ADAMTSL2,ENSG00000197859,Skin
"Trichothiodystrophy 3, photosensitive",GTF2H5,ENSG00000272047,Skin
Mandibuloacral dysplasia with type B lipodystrophy,ZMPSTE24,ENSG00000084073,Skin
"Trichothiodystrophy 2, photosensitive",ERCC3,ENSG00000163161,Skin
?Cowden syndrome 7,SEC23B,ENSG00000101310,Skin
Cardiofaciocutaneous syndrome 2,KRAS,ENSG00000133703,Skin
"Waardenburg syndrome, type 4B",EDN3,ENSG00000124205,Skin
"Waardenburg syndrome, type 4C",SOX10,ENSG00000100146,Skin
"Dyserythropoietic anemia, congenital, type II",SEC23B,ENSG00000101310,Skin
"Acne inversa, familial, 2, with or without Dowling-Degos disease",PSENEN,ENSG00000205155,Skin
Linear skin defects with multiple congenital anomalies 1,HCCS,ENSG00000004961,Skin
Linear skin defects with multiple congenital anomalies 1,HCCS,ENSG00000004961,Skin
"Porokeratosis 7, multiple types",MVD,ENSG00000167508,Skin
Noonan syndrome 3,KRAS,ENSG00000133703,Skin
"Ichthyosis, congenital, autosomal recessive 9",CERS3,ENSG00000154227,Skin
"Ichthyosis, congenital, autosomal recessive 4B (harlequin)",ABCA12,ENSG00000144452,Skin
"Hemochromatosis, type 2A",HJV,ENSG00000168509,Skin
"Ichthyosis, congenital, autosomal recessive 11",ST14,ENSG00000149418,Skin
Linear skin defects with multiple congenital anomalies 3,NDUFB11,ENSG00000147123,Skin
"Ichthyosis, congenital, autosomal recessive 14",SULT2B1,ENSG00000088002,Skin
"Ichthyosis, congenital, autosomal recessive 13",SDR9C7,ENSG00000170426,Skin
Alopecia universalis,HR,ENSG00000168453,Skin
Epidermolytic hyperkeratosis,KRT1,ENSG00000167768,Skin
Epidermolytic hyperkeratosis,KRT10,ENSG00000186395,Skin
Dowling-Degos disease 4,POGLUT1,ENSG00000163389,Skin
"Epidermolysis bullosa, junctional, non-Herlitz type",LAMC2,ENSG00000058085,Skin
"Epidermolysis bullosa, junctional, non-Herlitz type",LAMB3,ENSG00000196878,Skin
"Epidermolysis bullosa, junctional, non-Herlitz type",COL17A1,ENSG00000065618,Skin
"Epidermolysis bullosa, junctional, localisata variant",COL17A1,ENSG00000065618,Skin
"Epidermolysis bullosa, junctional, non-Herlitz type",ITGB4,ENSG00000132470,Skin
"Epidermolysis bullosa, generalized atrophic benign",LAMA3,ENSG00000053747,Skin
Hermansky-Pudlak syndrome 3,HPS3,ENSG00000163755,Skin
Noonan syndrome 5,RAF1,ENSG00000132155,Skin
Hermansky-Pudlak syndrome 5,HPS5,ENSG00000110756,Skin
Hermansky-Pudlak syndrome 6,HPS6,ENSG00000166189,Skin
Hermansky-Pudlak syndrome 7,DTNBP1,ENSG00000047579,Skin
Hermansky-Pudlak syndrome 8,BLOC1S3,ENSG00000189114,Skin
Singleton-Merten syndrome 1,IFIH1,ENSG00000115267,Skin
Hutchinson-Gilford progeria,LMNA,ENSG00000160789,Skin
"Porokeratosis 3, multiple types",MVK,ENSG00000110921,Skin
Beare-Stevenson cutis gyrata syndrome,FGFR2,ENSG00000066468,Skin
UV-sensitive syndrome 2,ERCC8,ENSG00000049167,Skin
Focal facial dermal dysplasia 4,CYP26C1,ENSG00000187553,Skin
"Trichothiodystrophy 4, nonphotosensitive",MPLKIP,ENSG00000168303,Skin
"Myofibromatosis, infantile, 1",PDGFRB,ENSG00000113721,Skin
Revesz syndrome,TINF2,ENSG00000092330,Skin
Noonan syndrome 1,PTPN11,ENSG00000179295,Skin
"Porokeratosis 1, multiple types",PMVK,ENSG00000163344,Skin
"Ichthyosis histrix, Curth-Macklin type",KRT1,ENSG00000167768,Skin
Cowden syndrome 6,AKT1,ENSG00000142208,Skin
Hermansky-Pudlak syndrome 4,HPS4,ENSG00000100099,Skin
Adams-Oliver syndrome 2,DOCK6,ENSG00000130158,Skin
Dowling-Degos disease 1,KRT5,ENSG00000186081,Skin
Aicardi-Goutieres syndrome 2,RNASEH2B,ENSG00000136104,Skin
"Dyskeratosis congenita, autosomal recessive 5",RTEL1,ENSG00000258366,Skin
"Dyskeratosis congenita, autosomal dominant 4",RTEL1,ENSG00000258366,Skin
Cowden syndrome 4,KLLN,ENSG00000227268,Skin
"Waardenburg syndrome, type 1",PAX3,ENSG00000135903,Skin
"Epidermolysis bullosa, junctional, Herlitz type",LAMC2,ENSG00000058085,Skin
"Epidermolysis bullosa, junctional, Herlitz type",LAMB3,ENSG00000196878,Skin
"Epidermolysis bullosa, junctional, Herlitz type",LAMA3,ENSG00000053747,Skin
Linear skin defects with multiple congenital anomalies 2,COX7B,ENSG00000131174,Skin
"Epidermolysis bullosa simplex, Koebner type",KRT5,ENSG00000186081,Skin
"Epidermolysis bullosa simplex, Koebner type",KRT14,ENSG00000186847,Skin
UV-sensitive syndrome 1,ERCC6,ENSG00000225830,Skin
GRACILE syndrome,BCS1L,ENSG00000074582,Skin
"Focal facial dermal dysplasia 3, Setleis type",TWIST2,ENSG00000233608,Skin
"?Amyloidosis, primary localized cutaneous, 2",IL31RA,ENSG00000164509,Skin
"Griscelli syndrome, type 2",RAB27A,ENSG00000069974,Skin
LEOPARD syndrome 2,RAF1,ENSG00000132155,Skin
Peeling skin syndrome 1,CDSN,ENSG00000204539,Skin
"Basal ganglia calcification, idiopathic, 4",PDGFRB,ENSG00000113721,Skin
Nephronophthisis 16,ANKS6,ENSG00000165138,Kidney
"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis",CA2,ENSG00000104267,Kidney
"Hypomagnesemia 3, renal",CLDN16,ENSG00000113946,Kidney
"Nephrotic syndrome, type 1",NPHS1,ENSG00000161270,Kidney
"{Diabetes, type 1, susceptibility to}",PTPN22,ENSG00000134242,Kidney
"{Diabetes mellitus, insulin-dependent-1}",IDDM1,,Kidney
"{Diabetes, type 1, susceptibility to}",ITPR3,ENSG00000096433,Kidney
{Type 1 diabetes mellitus},IL6,ENSG00000136244,Kidney
"{Diabetes mellitus, insulin-dependent}",HNF1A,ENSG00000135100,Kidney
"Tubulointerstitial kidney disease, autosomal dominant, 5",SEC61A1,ENSG00000058262,Kidney
Pseudoxanthoma elasticum,ABCC6,ENSG00000091262,Kidney
"{Pseudoxanthoma elasticum, modifier of severity of}",XYLT1,ENSG00000103489,Kidney
"{Pseudoxanthoma elasticum, modifier of severity of}",XYLT2,ENSG00000015532,Kidney
Sotos syndrome 1,NSD1,ENSG00000165671,Kidney
?SERKAL syndrome,WNT4,ENSG00000162552,Kidney
Bardet-Biedl syndrome 3,ARL6,ENSG00000113966,Kidney
Hypophosphatemic rickets,CLCN5,ENSG00000171365,Kidney
?CHARGE syndrome,SEMA3E,ENSG00000170381,Kidney
CHARGE syndrome,CHD7,ENSG00000171316,Kidney
"Mitochondrial complex III deficiency, nuclear type 1",BCS1L,ENSG00000074582,Kidney
?Diamond-Blackfan anemia 11,RPL26,ENSG00000161970,Kidney
"Glomerulosclerosis, focal segmental, 5",INF2,ENSG00000203485,Kidney
D-bifunctional protein deficiency,HSD17B4,ENSG00000133835,Kidney
Galloway-Mowat syndrome 5,TPRKB,ENSG00000144034,Kidney
Peroxisome biogenesis disorder 11A (Zellweger),PEX13,ENSG00000162928,Kidney
Smith-Magenis syndrome,RAI1,ENSG00000108557,Kidney
Joubert syndrome 15,CEP41,ENSG00000106477,Kidney
"Osteogenesis imperfecta, type X",SERPINH1,ENSG00000149257,Kidney
Joubert syndrome 9,CC2D2A,ENSG00000048342,Kidney
Meckel syndrome 6,CC2D2A,ENSG00000048342,Kidney
"Nephrolithiasis/osteoporosis, hypophosphatemic, 2",SLC9A3R1,ENSG00000109062,Kidney
"Nephrolithiasis/osteoporosis, hypophosphatemic, 1",SLC34A1,ENSG00000131183,Kidney
Beaulieu-Boycott-Innes syndrome,THOC6,ENSG00000131652,Kidney
"Simpson-Golabi-Behmel syndrome, type 1",GPC3,ENSG00000147257,Kidney
Peroxisome biogenesis disorder 12A (Zellweger),PEX19,ENSG00000162735,Kidney
GRACILE syndrome,BCS1L,ENSG00000074582,Kidney
"Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay",PBX1,ENSG00000185630,Kidney
Galloway-Mowat syndrome 3,OSGEP,ENSG00000092094,Kidney
"Robinow syndrome, autosomal dominant 1",WNT5A,ENSG00000114251,Kidney
"Renal cell carcinoma, papillary",PRCC,ENSG00000143294,Kidney
"Renal cell carcinoma, papillary, 1, familial and somatic",MET,ENSG00000105976,Kidney
Meckel syndrome 4,CEP290,ENSG00000198707,Kidney
"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",RERE,ENSG00000142599,Kidney
"Fanconi anemia, complementation group A",FANCA,ENSG00000187741,Kidney
?Webb-Dattani syndrome,ARNT2,ENSG00000172379,Kidney
"Nephrotic syndrome, type 6",PTPRO,ENSG00000151490,Kidney
"?Coenzyme Q10 deficiency, primary, 8",COQ7,ENSG00000167186,Kidney
Short-rib thoracic dysplasia 13 with or without polydactyly,CEP120,ENSG00000168944,Kidney
"Nephrotic syndrome, type 5, with or without ocular abnormalities",LAMB2,ENSG00000172037,Kidney
Senior-Loken syndrome 8,WDR19,ENSG00000157796,Kidney
Oculoskeletodental syndrome,PIK3C2A,ENSG00000011405,Kidney
"Nephrotic syndrome, type 17",NUP85,ENSG00000125450,Kidney
?Congenital anomalies of kidney and urinary tract 3,NRIP1,ENSG00000180530,Kidney
"{?Colorectal cancer, susceptibility to}",PLA2G2A,ENSG00000188257,Kidney
"Colorectal cancer, somatic",NRAS,ENSG00000213281,Kidney
"Colorectal cancer with chromosomal instability, somatic",BUB1,ENSG00000169679,Kidney
"Colorectal cancer, somatic",CTNNB1,ENSG00000168036,Kidney
"Colorectal cancer, somatic",PIK3CA,ENSG00000121879,Kidney
"Colorectal cancer, somatic",FGFR3,ENSG00000068078,Kidney
"{Colorectal cancer, susceptibility to}",TLR2,ENSG00000137462,Kidney
"Colorectal cancer, somatic",APC,ENSG00000134982,Kidney
"Colorectal cancer, somatic",MCC,ENSG00000171444,Kidney
"Colon cancer, somatic",PTPN12,ENSG00000127947,Kidney
"Colorectal cancer, somatic",BRAF,ENSG00000157764,Kidney
"Colorectal cancer, somatic",DLC1,ENSG00000164741,Kidney
"Colorectal cancer, somatic",PDGFRL,ENSG00000104213,Kidney
"Colon cancer, somatic",RAD54B,ENSG00000197275,Kidney
"Colon cancer, somatic",PTPRJ,ENSG00000149177,Kidney
"{Colorectal cancer, susceptibility to}",CCND1,ENSG00000110092,Kidney
"Colorectal cancer, somatic",MLH3,ENSG00000119684,Kidney
"Colorectal cancer, somatic",AKT1,ENSG00000142208,Kidney
"Colorectal cancer, somatic",BUB1B,ENSG00000156970,Kidney
{Colorectal cancer},TP53,ENSG00000141510,Kidney
"Colorectal cancer, somatic",FLCN,ENSG00000154803,Kidney
"Colorectal cancer, somatic",AXIN2,ENSG00000168646,Kidney
"Colorectal cancer, somatic",DCC,ENSG00000187323,Kidney
"Colorectal cancer, somatic",BAX,ENSG00000087088,Kidney
"Colon cancer, advanced, somatic",SRC,ENSG00000197122,Kidney
"{Colon cancer, susceptibility to}",AURKA,ENSG00000087586,Kidney
"Colorectal cancer, somatic",EP300,ENSG00000100393,Kidney
Denys-Drash syndrome,WT1,ENSG00000184937,Kidney
"Bartter syndrome, type 1",SLC12A1,ENSG00000074803,Kidney
LADD syndrome,FGFR3,ENSG00000068078,Kidney
LADD syndrome,FGF10,ENSG00000070193,Kidney
LADD syndrome,FGFR2,ENSG00000066468,Kidney
CHILD syndrome,NSDHL,ENSG00000147383,Kidney
Bardet-Biedl syndrome 12,BBS12,ENSG00000181004,Kidney
?Bardet-Biedl syndrome 11,TRIM32,ENSG00000119401,Kidney
Combined oxidative phosphorylation deficiency 24,NARS2,ENSG00000137513,Kidney
"Hyperoxaluria, primary, type 1",AGXT,ENSG00000172482,Kidney
Bardet-Biedl syndrome 4,BBS4,ENSG00000140463,Kidney
"Congenital disorder of glycosylation, type IIe",COG7,ENSG00000168434,Kidney
Bardet-Biedl syndrome 10,BBS10,ENSG00000179941,Kidney
LEOPARD syndrome 1,PTPN11,ENSG00000179295,Kidney
?Fanconi renotubular syndrome 2,SLC34A1,ENSG00000131183,Kidney
Renal tubular dysgenesis,REN,ENSG00000143839,Kidney
Renal tubular dysgenesis,AGT,ENSG00000135744,Kidney
Renal tubular dysgenesis,AGTR1,ENSG00000144891,Kidney
Renal tubular dysgenesis,ACE,ENSG00000159640,Kidney
Glycogen storage disease X,PGAM2,ENSG00000164708,Kidney
"Microphthalmia, syndromic 6",BMP4,ENSG00000125378,Kidney
Glutaric acidemia IIC,ETFDH,ENSG00000171503,Kidney
Glutaric acidemia IIA,ETFA,ENSG00000140374,Kidney
Glutaric acidemia IIB,ETFB,ENSG00000105379,Kidney
Joubert syndrome 7,RPGRIP1L,ENSG00000103494,Kidney
"Hyperoxaluria, primary, type II",GRHPR,ENSG00000137106,Kidney
Short-rib thoracic dysplasia 9 with or without polydactyly,IFT140,ENSG00000187535,Kidney
"Microphthalmia, syndromic 1",NAA10,ENSG00000102030,Kidney
Apert syndrome,FGFR2,ENSG00000066468,Kidney
Galloway-Mowat syndrome 1,WDR73,ENSG00000177082,Kidney
Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,ZMIZ1,ENSG00000108175,Kidney
"Cystinosis, late-onset juvenile or adolescent nephropathic",CTNS,ENSG00000040531,Kidney
"Otopalatodigital syndrome, type II",FLNA,ENSG00000196924,Kidney
Intellectual developmental disorder with impaired language and dysmorphic facies,DDX6,ENSG00000110367,Kidney
"Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies",ZNF148,ENSG00000163848,Kidney
Joubert syndrome 3,AHI1,ENSG00000135541,Kidney
"Nephrotic syndrome, type 8",ARHGDIA,ENSG00000141522,Kidney
"Sialic acid storage disorder, infantile",SLC17A5,ENSG00000119899,Kidney
"Amyloidosis, Finnish type",GSN,ENSG00000148180,Kidney
Joubert syndrome 4,NPHP1,ENSG00000144061,Kidney
?Meckel syndrome 8,TCTN2,ENSG00000168778,Kidney
?Townes-Brocks syndrome 2,DACT1,ENSG00000165617,Kidney
"Nephrotic syndrome, type 16",KANK2,ENSG00000197256,Kidney
